bill_length_mm,bill_depth_mm,flipper_length_mm,body_mass_g,species
47.2,16.2,225,5425,Gentoo
57.1,18.4,197,4050,Chinstrap
43.2,19.8,185,4425,Adelie
47.9,16.4,196,3850,Chinstrap
46.6,16.1,214,6200,Gentoo
35.7,18.2,181,3900,Adelie
38.8,18.3,190,3250,Adelie
115.4,18.8,200,3975,Chinstrap
34.1,18.5,197,3850,Adelie
42.2,18.1,198,4050,Adelie
44.7,16.4,191,3750,Chinstrap
47.7,18.8,186,3875,Chinstrap
,17,193,3225,Adelie
51.7,14.5,209,5750,Gentoo
36.6,17.5,188,3925,Adelie
50.7,17.7,203,3575,Chinstrap
50.9,14.6,230,5375,Gentoo
44.3,13.8,222,5225,Gentoo
38,16.9,189,4425,Adelie
39.1,17.7,185,,Adelie
48.5,17.8,198,3500,Chinstrap
55.1,16.1,215,5500,Gentoo
51.1,20.8,193,3450,Chinstrap
44.5,14.8,210,4500,Gentoo
49.7,15.1,219,4750,Gentoo
41.2,,220,5025,Gentoo
44.7,18.2,192,3975,Chinstrap
50.5,19.1,196,3475,Chinstrap
48.3,14.8,210,4775,Gentoo
50.5,14.2,205,4775,Gentoo
45.2,16.3,216,5500,Gentoo
46.2,16,189,3975,Chinstrap
40.6,17.6,194,3125,Adelie
44,15.9,218,12500,Gentoo
48.1,18.1,200,3625,Chinstrap
39.3,17.7,190,4400,Adelie
38,18.3,185,3775,Adelie
38.1,20.1,200,3275,Adelie
38.6,18.8,199,4475,Adelie
52.1,16.1,218,5225,Gentoo
45.9,14.8,213,5400,Gentoo
45.5,18.1,196,4025,Chinstrap
41.8,14.4,220,5750,Gentoo
48,15,223,4775,Gentoo
49.1,17.7,207,4075,Chinstrap
37.7,19.1,179,3875,Adelie
51.8,18.5,200,3900,Chinstrap
47.1,19.1,,3600,Chinstrap
49.9,15.9,222,5025,Gentoo
36.5,19.8,189,2725,Adelie
34.9,18,189,4575,Adelie
39.1,16.7,192,3475,Adelie
46.3,13.1,208,,Gentoo
40.9,19.3,181,3400,Adelie
49.4,14.4,207,4975,Gentoo
48.3,16.7,201,3300,Chinstrap
44.8,16.8,213,4250,Chinstrap
41.2,19.5,190,3225,Adelie
38.1,18.6,193,4025,Adelie
33.4,18.7,184,3650,Adelie
41.6,18.8,183,3750,Adelie
53.8,16.4,421,3500,Chinstrap
47,12.5,206,5850,Gentoo
54.1,17.8,206,3750,Chinstrap
48.6,16.8,201,3075,Chinstrap
41,19.9,188,3800,Adelie
48.9,16,214,4900,Gentoo
40,19.9,204,4575,Adelie
34.5,17.7,175,3875,Adelie
55.2,15.1,222,5125,Gentoo
47.6,16,216,5000,Gentoo
38.7,17.8,191,3375,Adelie
52.1,14.7,221,5350,Gentoo
,18.6,195,3550,Adelie
45.5,19.8,180,3850,Chinstrap
47.8,14.2,214,4675,Gentoo
48.9,17.6,205,2950,Chinstrap
33,17.9,189,3500,Adelie
36.1,17,188,3925,Adelie
40.8,19.9,195,3875,Adelie
45.9,14.9,214,4400,Gentoo
50.8,16.6,214,5075,Gentoo
50.7,17,190,3450,Chinstrap
41.1,17.5,188,2825,Adelie
36.7,18.5,187,3200,Adelie
48.8,18.3,200,3725,Chinstrap
45.7,14.3,211,5500,Gentoo
36.1,16.5,200,4200,Adelie
46.4,42.9,223,6250,Gentoo
48.2,15.3,221,5225,Gentoo
53.7,19.1,186,4175,Chinstrap
35.9,17.7,191,3400,Adelie
55.2,20.7,200,3600,Chinstrap
37.9,19.3,185,3550,Adelie
45.7,14.5,216,4600,Gentoo
39.4,,216,6100,Gentoo
35.8,18.5,194,3525,Adelie
37.1,16.5,182,3925,Adelie
45.9,15.8,213,4000,Gentoo
53.2,19.1,195,3750,Chinstrap
50.3,13.6,217,5125,Gentoo
50.6,15.7,229,6025,Gentoo
53.6,19,194,3000,Chinstrap
35.4,19.2,187,3825,Adelie
37.3,17.1,186,850,Adelie
48.6,14.7,213,5425,Gentoo
38.8,17,196,4025,Adelie
36.2,18.1,191,3175,Adelie
50.3,16.8,198,4200,Chinstrap
45.4,15.2,231,5250,Gentoo
48.7,14.3,220,5625,Gentoo
48.4,18.9,187,3300,Chinstrap
49.4,15.6,203,2800,Chinstrap
34.2,17.5,183,3075,Adelie
45.4,14.2,205,5000,Gentoo
36.1,19,184,3875,Adelie
36.8,18.2,193,3225,Adelie
48.4,17.7,200,,Chinstrap
44.4,18.2,190,3400,Chinstrap
45.6,15.8,223,5000,Gentoo
38.9,20.2,191,4075,Adelie
50.7,18.3,217,4050,Chinstrap
53,19.5,193,3525,Chinstrap
50.8,12.7,221,6775,Gentoo
50.3,14.5,221,5400,Gentoo
35,18.7,189,4200,Adelie
54.4,15,217,5700,Gentoo
37.7,19.1,183,4050,Adelie
47.3,18.7,195,4525,Chinstrap
2.5,18.6,189,4025,Chinstrap
36.7,19.3,184,3600,Adelie
42.6,18.4,201,3900,Adelie
42.3,19.6,184,3400,Adelie
47.4,17.9,215,3650,Chinstrap
49.3,19.8,185,3825,Chinstrap
37.5,18.1,201,4475,Adelie
48,12.8,217,5475,Gentoo
49.1,15,219,5550,Gentoo
51.9,18.2,195,4000,Chinstrap
45.8,18,212,5500,Gentoo
39.4,19,,3950,Adelie
42.6,13.7,224,5325,Gentoo
50.8,19,194,3675,Chinstrap
49.7,19.7,185,3850,Chinstrap
39.4,20.9,188,3475,Adelie
45.9,16.1,220,5875,Gentoo
51.8,16.8,192,3500,Chinstrap
51.5,14.9,213,4625,Gentoo
47.2,19.3,193,3675,Chinstrap
40.3,16.9,186,3750,Adelie
